casenum,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,E(T),Pr(FV),Pr(K),time_fv_starts,prop_time_fv_starts,n(FV),time(FV)
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,0,1313,,0,3.94e-06,23241.9,0.020000,13104165,4330761.2
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,0,1323,,0,3.94e-06,20803.1,0.018000,13170736,4346156.3
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,0,1333,,0,3.94e-06,23196.5,0.020000,14219979,4670955.7
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,0,1343,,0,3.94e-06,20779.3,0.018000,14756957,4833808.3
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,0,1353,,0,3.94e-06,17760.1,0.016000,13046499,4295143.6
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,0,1363,,0,3.94e-06,21126.3,0.018000,12175879,4034162.8
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,0,1373,,0,3.94e-06,19645.9,0.017000,12800975,4230491.5
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,0,1383,,0,3.94e-06,21799.9,0.019000,13947375,4584217.7
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,0,1393,,0,3.94e-06,15966.4,0.014000,13012716,4297635.3
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,0,1403,,0,3.94e-06,18101.2,0.016000,13465524,4448002.6
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,0,1413,,0,3.94e-06,17267.2,0.015000,12731425,4208302.8
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,0,1423,,0,3.94e-06,17307.8,0.015000,14226889,4675860.6
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,0,1433,,0,3.94e-06,15105.8,0.013000,13157651,4346677.5
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,0,1443,,0,3.94e-06,15845.3,0.014000,13526323,4430324.1
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,0,1453,,0,3.94e-06,19563.7,0.017000,12591693,4159886.7
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,0,1313,,0,3.94e-06,56280.1,0.049000,25733059,8507702.8
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,0,1323,,0,3.94e-06,50015.6,0.044000,25675397,8521577.0
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,0,1333,,0,3.94e-06,48005.7,0.042000,25329059,8397229.8
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,0,1343,,0,3.94e-06,42799.9,0.037000,25662919,8526803.1
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,0,1353,,0,3.94e-06,47869.9,0.042000,24631559,8183183.2
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,0,1363,,0,3.94e-06,53323.2,0.047000,25102580,8335910.9
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,0,1373,,0,3.94e-06,53521.1,0.047000,26881043,8898855.0
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,0,1383,,0,3.94e-06,57805.8,0.051000,26901040,8925385.8
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,0,1393,,0,3.94e-06,45979.8,0.040000,24056893,7988128.1
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,0,1403,,0,3.94e-06,54403.7,0.048000,26157389,8671588.8
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,0,1413,,0,3.94e-06,54846.0,0.048000,25486700,8452825.4
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,0,1423,,0,3.94e-06,66693.3,0.058000,23985462,7968351.7
