,rhos,K,nparticles,nmeantimes,multiplier,buffer_size_activation,buffer_size_activation_value,rep,seed,integral,E(T),n(ET),PMC(K),time(MC),n(MC),n(RT),PFV(K),time(FV),n(FV),n(PT),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
12,[0.7],20,3200,50,1,0.4,8,4,1343,0.013358122952901483,59.414750660538566,3847,0.0002688906760370367,519379.9135686751,726920,15382,0.00022482839369674463,467366.919665718,726920,35219,0.00023951057653476344,1.111289421040238,1.0
13,[0.7],20,3200,50,1,0.4,8,5,1353,0.0165565853862944,57.647293110842114,3964,0.00024339791754459232,518129.314417401,725543,15393,0.0002872049057786634,467212.1573007632,725543,34773,0.00023951057653476344,1.1089808052316164,1.0
14,[0.7],20,3200,50,1,0.4,8,6,1363,0.009503206830206964,55.233117569002246,4136,0.00036138625144361024,517089.4092802366,726782,15475,0.0001720563178121295,466956.94570225826,726782,35313,0.00023951057653476344,1.1073599269469778,1.0
15,[0.7],20,3200,50,1,0.4,8,7,1373,0.012729310081049763,59.38404631508858,3846,0.00026421338026331765,517604.2515383486,725600,15717,0.00021435572129101347,468202.74196631403,725600,34560,0.00023951057653476344,1.1055130718896748,1.0
16,[0.7],20,3200,50,1,0.4,8,8,1383,0.013837954560634585,55.98255301963754,4078,0.0002562346559957892,519675.11703882285,728027,15084,0.00024718334220628544,468346.5061939079,728027,34969,0.00023951057653476344,1.1095953747195535,1.0
17,[0.7],20,3200,50,1,0.5,10,1,1313,0.024396683160982046,117.53309626708086,1941,0.00025715155789473405,521015.763125958,729623,7841,0.00020757287892376544,467679.38864376117,729623,36485,0.00023951057653476344,1.1140447404296963,1.0
18,[0.7],20,3200,50,1,0.5,10,2,1323,0.02494632862501852,106.25864542141461,2150,0.00033692852867269363,518759.68353761255,727654,8056,0.00023476987238151836,467791.5785499029,727654,36964,0.00023951057653476344,1.10895472968048,1.0
19,[0.7],20,3200,50,1,0.5,10,3,1333,0.02324544685395715,114.21305251367555,1997,0.00018636694883612066,518064.69520831003,725687,7331,0.000203527060544799,467283.29871270165,725687,36414,0.00023951057653476344,1.1086736817590181,1.0
20,[0.7],20,3200,50,1,0.5,10,4,1343,0.024373165750545447,111.71421690658961,2046,0.00026950300823737507,518199.84122971655,725541,7780,0.00021817425235075665,466935.39215066854,725541,36193,0.00023951057653476344,1.1097891698526596,1.0
21,[0.7],20,3200,50,1,0.5,10,5,1353,0.02948161035492778,110.28410643042399,2072,0.00024341242933073376,518098.42453299736,725472,8037,0.00026732419846487246,467149.1225680677,725472,36654,0.00023951057653476344,1.1090643212275453,1.0
22,[0.7],20,3200,50,1,0.5,10,6,1363,0.025600241659677555,113.4746611678212,2012,0.0003614604962120127,516983.19799618836,726769,7485,0.00022560315577251704,467233.3211329343,726769,36551,0.00023951057653476344,1.1064775875629373,1.0
23,[0.7],20,3200,50,1,0.5,10,7,1373,0.02711444313330344,125.8372880362857,1815,0.00026430672703776334,517421.4461748152,725352,7999,0.00021547224639396933,467692.915262531,725352,36680,0.00023951057653476344,1.106327312835966,1.0
24,[0.7],20,3200,50,1,0.5,10,8,1383,0.02969439890321539,116.0572622769929,1963,0.0002568125486117178,518505.717745673,727516,7424,0.0002558598946815066,467941.356446365,727516,36679,0.00023951057653476344,1.1080570473259796,1.0
25,[0.7],20,3200,50,1,0.6,12,1,1313,0.05284460688703621,235.88667727425644,964,0.0002582533762866786,518792.8889914183,727821,3918,0.00022402539854167263,467220.7569851498,727821,39315,0.00023951057653476344,1.1103806524758224,1.0
26,[0.7],20,3200,50,1,0.6,12,2,1323,0.05147693367399371,203.9234305325764,1118,0.00033777650940024006,517457.3484088345,726640,3958,0.00025243265837355736,467334.83662044385,726640,39869,0.00023951057653476344,1.1072518200244907,1.0
