,rhos,K,nparticles,nmeantimes,multiplier,buffer_size_activation,buffer_size_activation_value,rep,seed,integral,E(T),n(ET),PMC(K),time(MC),n(MC),n(RT),PFV(K),time(FV),n(FV),n(PT),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
21,[0.7],40,2000,50,1,0.5,20,5,1317,0.0004784590448521189,4464.285714301576,32,0.0,324034.91974361474,453474,98,1.0717482604649383e-07,292273.1252199391,453474,21137,1.9100425795336106e-07,1.108671621791345,1.0
22,[0.7],40,2000,50,1,0.5,20,6,1318,0.00037844366834699446,4329.004329017143,33,0.0,323883.67722009425,454430,133,8.742048738789694e-08,292627.9432569583,454430,21124,1.9100425795336106e-07,1.1068104898502127,1.0
23,[0.7],40,2000,50,1,0.5,20,7,1319,0.0010687002001290241,3968.253968267974,36,0.0,324278.4313475444,453390,109,2.6931245043156357e-07,291858.87046331284,453390,20803,1.9100425795336106e-07,1.1110795804587572,1.0
24,[0.7],40,2000,50,1,0.5,20,8,1320,0.0005338370343517723,4926.108374397626,29,0.0,323851.0188079179,454382,87,1.0836891797311522e-07,292945.87935313577,454382,21149,1.9100425795336106e-07,1.105497778371298,1.0
25,[0.7],40,2000,50,1,0.6,24,1,1313,0.0035320849531980747,16922.490702540024,8,0.0,325024.1083947841,452341,43,2.0872134104159488e-07,292235.3719654769,452341,21048,1.9100425795336106e-07,1.1121997525788243,1.0
26,[0.7],40,2000,50,1,0.6,24,2,1314,0.0018484421344041573,71428.571428711,2,0.0,324117.13940732856,454916,7,2.5878189881607637e-08,292430.7893627491,454916,21094,1.9100425795336106e-07,1.1083550405674751,1.0
27,[0.7],40,2000,50,1,0.6,24,3,1315,0.00346611373100604,14285.714285722395,10,0.0,323433.57041640085,454651,28,2.426279611702851e-07,292157.8685489563,454651,21039,1.9100425795336106e-07,1.1070506915414593,1.0
28,[0.7],40,2000,50,1,0.6,24,4,1316,0.002621676437695233,8099.085060717978,16,0.0,324230.26829196914,453885,32,3.237003214611038e-07,292427.7040912063,453885,21476,1.9100425795336106e-07,1.1087535953530716,1.0
29,[0.7],40,2000,50,1,0.6,24,5,1317,0.0037480218388887283,11345.407580283203,11,0.0,324106.6156137052,453562,15,3.30355856531967e-07,292265.85460507544,453562,20776,1.9100425795336106e-07,1.1089445123572668,1.0
30,[0.7],40,2000,50,1,0.6,24,6,1318,0.0026014261008675188,47619.04761913858,3,0.0,324118.52488269,454773,25,5.462994811811354e-08,292477.4961539352,454773,21005,1.9100425795336106e-07,1.108182780367149,1.0
31,[0.7],40,2000,50,1,0.6,24,7,1319,0.0038298443056332975,10989.010989018609,13,0.0,324116.7292504048,453149,49,3.485158318123884e-07,291858.87046331284,453149,20948,1.9100425795336106e-07,1.1105255383736807,1.0
32,[0.7],40,2000,50,1,0.6,24,8,1320,0.002796420639500948,8928.571428599611,16,0.0,322533.95171352045,452561,22,3.131991116231176e-07,292038.6925515229,452561,21543,1.9100425795336106e-07,1.1044219822228434,1.0
