,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,Pr(MC),EMC(T),time(MC),n(MC),n(RT),Pr(FV),integral,E(T),n(FV),n(PT),n(ET),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
53,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.1,4,4,9,1393,,,,,,1.953601909448253e-05,0.00010671946201232056,5.462702585219159,4180600,3200,3200,3.939624007386781e-06,,
54,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.1,4,4,10,1403,,,,,,1.9622110793607756e-06,9.914182823765958e-06,5.0525567448103885,2350582,3200,3200,3.939624007386781e-06,,
55,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.1,4,4,11,1413,,,,,,7.179734676229408e-07,3.796917443249854e-06,5.288381276568129,1885391,3200,3200,3.939624007386781e-06,,
56,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.1,4,4,12,1423,,,,,,6.450325807419314e-06,3.434985511543486e-05,5.325289937436162,2450793,3200,3200,3.939624007386781e-06,,
57,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.1,4,4,13,1433,,,,,,5.026502447513107e-06,2.5830737996506857e-05,5.138908866797981,2741338,3200,3200,3.939624007386781e-06,,
58,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.1,4,4,14,1443,,,,,,1.895294389760585e-06,9.497011410773858e-06,5.010837082662144,1892106,3200,3200,3.939624007386781e-06,,
59,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.1,4,4,15,1453,,,,,,1.396411729798794e-06,6.686478212714495e-06,4.788328592511848,1545262,3200,3200,3.939624007386781e-06,,
60,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.125,5,4,1,1313,,,,,,0.0,0.0,6.017373177825602,1180610,3200,3200,3.939624007386781e-06,,
61,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.125,5,4,2,1323,,,,,,3.776880581286468e-06,2.214760156331914e-05,5.863993072234044,2730410,3200,3200,3.939624007386781e-06,,
62,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.125,5,4,3,1333,,,,,,1.5943553305698462e-06,9.608888603309816e-06,6.026817497373974,1593422,3200,3200,3.939624007386781e-06,,
63,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.125,5,4,4,1343,,,,,,4.808072059871929e-06,2.9538648952299512e-05,6.143553712272424,2514151,3200,3200,3.939624007386781e-06,,
64,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.125,5,4,5,1353,,,,,,4.688857081334655e-06,2.8307854038971774e-05,6.037261010078412,1524651,3200,3200,3.939624007386781e-06,,
