,rhos,K,nparticles,nmeantimes,multiplier,buffer_size_activation,buffer_size_activation_value,rep,seed,integral,E(T),n(ET),PMC(K),time(MC),n(MC),n(RT),PFV(K),time(FV),n(FV),n(PT),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
13,[0.7],40,3200,50,1,0.4,16,5,1353,0.00012272790511396248,940.6540845884316,241,0.0,517047.4282491623,724244,1022,1.3047081506870842e-07,466885.3258639608,724244,33282,1.9100425795336106e-07,1.1074398778594672,1.0
14,[0.7],40,3200,50,1,0.4,16,6,1363,0.0001175083221639339,1075.9399488975785,212,1.12146679910812e-05,515867.1992238465,726007,1090,1.092145730664006e-07,466939.4332762914,726007,33622,1.9100425795336106e-07,1.1047839665291326,1.0
15,[0.7],40,3200,50,1,0.4,16,7,1373,0.00014172196929779237,1232.3453913564604,185,0.0,516311.8520274992,725147,845,1.1500182521216471e-07,467829.0118076017,725147,33865,1.9100425795336106e-07,1.103633675971845,1.0
16,[0.7],40,3200,50,1,0.4,16,8,1383,0.0001457681108768514,1214.572749455867,178,0.0,516954.98332592647,727225,898,1.2001595700393906e-07,467659.4116617864,727225,34220,1.9100425795336106e-07,1.1054091298814508,1.0
17,[0.7],40,3200,50,1,0.5,20,1,1313,0.0007163742147497734,4477.401271729106,49,0.0,484347.6214663185,728673,192,1.5999776907936604e-07,467783.40976974147,728673,33262,1.9100425795336106e-07,1.035410002472577,1.0
18,[0.7],40,3200,50,1,0.5,20,2,1323,0.0005045031784470717,2833.69529362006,80,0.0,508449.5618742691,728254,197,1.7803720095909335e-07,468096.6647948324,728254,34295,1.9100425795336106e-07,1.0862063332519651,1.0
19,[0.7],40,3200,50,1,0.5,20,3,1333,0.000470237507045023,6459.275230169733,30,0.0,516246.41314475477,727435,204,7.280035147730753e-08,468016.29957162717,727435,33645,1.9100425795336106e-07,1.1030522091159483,1.0
20,[0.7],40,3200,50,1,0.5,20,4,1343,0.00047328016119238726,3695.2402868299405,57,0.0,498087.6702090842,728041,275,1.280783181757317e-07,468097.54790579877,728041,34737,1.9100425795336106e-07,1.0640681038331794,1.0
21,[0.7],40,3200,50,1,0.5,20,5,1353,0.0006997876164560176,4811.944812001857,47,0.0,474098.657000696,725727,293,1.4542719083365655e-07,467589.1289780061,725727,33411,1.9100425795336106e-07,1.0139214699813863,1.0
22,[0.7],40,3200,50,1,0.5,20,6,1363,0.0007391316124348431,5283.201306014352,39,1.1374571984586092e-05,508615.1263207201,726258,284,1.3990222397799265e-07,466939.5512858932,726258,33958,1.9100425795336106e-07,1.08925261293471,1.0
23,[0.7],40,3200,50,1,0.5,20,7,1373,0.000988412486840874,4455.055789844491,50,0.0,515187.8464882342,726291,234,2.2186309969316358e-07,468543.23961418803,726291,33632,1.9100425795336106e-07,1.0995524061182798,1.0
24,[0.7],40,3200,50,1,0.5,20,8,1383,0.0006678440320671705,3860.3832820490593,56,0.0,516961.5068821972,727410,247,1.7299941049187336e-07,468018.21818492614,727410,34134,1.9100425795336106e-07,1.104575605810995,1.0
25,[0.7],40,3200,50,1,0.6,24,1,1313,0.0027322273138077244,36557.71742688824,6,0.0,461689.98268825596,728848,40,7.473736070289138e-08,467782.70606784965,728848,33654,1.9100425795336106e-07,0.9869753128951502,1.0
26,[0.7],40,3200,50,1,0.6,24,2,1323,0.002648364838791195,15097.087415080427,13,0.0,402326.4997316011,726302,41,1.7542223648687052e-07,467367.3033946577,726302,33883,1.9100425795336106e-07,0.8608357854932476,1.0
27,[0.7],40,3200,50,1,0.6,24,3,1333,0.0029000703577373005,2852.9929706131784,14,0.0,473784.72182213154,726290,33,1.0165010526170361e-06,467450.9715401854,726290,34156,1.9100425795336106e-07,1.0135495499369214,1.0
28,[0.7],40,3200,50,1,0.6,24,4,1343,0.0028823711657098186,66324.91774699159,3,0.0,472358.7399414276,727801,92,4.3458345123097556e-08,468052.3412063968,727801,34436,1.9100425795336106e-07,1.009200677693292,1.0
29,[0.7],40,3200,50,1,0.6,24,5,1353,0.0037393772723724834,22030.789687126966,7,0.0,386911.5464226303,725557,67,1.6973414596016396e-07,467567.51659584965,725557,33716,1.9100425795336106e-07,0.8274987733099181,1.0
30,[0.7],40,3200,50,1,0.6,24,6,1363,0.0025528883598283313,26348.984215145236,6,1.1698752283770228e-05,494521.0588662813,726823,52,9.688754370883666e-08,466928.84731082444,726823,34372,1.9100425795336106e-07,1.0590929682635122,1.0
31,[0.7],40,3200,50,1,0.6,24,7,1373,0.0035389445225101077,31163.53689847855,6,0.0,485951.319758194,726502,45,1.1356042589257204e-07,468452.8610406022,726502,33757,1.9100425795336106e-07,1.0373537236568935,1.0
32,[0.7],40,3200,50,1,0.6,24,8,1383,0.0035569801284294467,13880.797200945157,15,0.0,452427.27921758743,728336,73,2.5625186197427107e-07,468372.3096059876,728336,34472,1.9100425795336106e-07,0.9659565049825133,1.0
