,K,nparticles,nmeantimes,rep,seed,integral,E(T),PMC(K),PFV1(K),PFV2(K),Pr(K)
131,10,200,40,1,1717,0.000263779,3.879983264,0.00019216,6.80E-05,0,0.00048852
132,10,200,40,2,1719,0.001878966,3.89258321,0.000742719,0.000482704,0,0.00048852
133,10,200,40,3,1837,0.001489637,3.857508455,0.0004986,0.000386166,0,0.00048852
134,10,200,40,4,1828,0.001479129,3.873453346,0.000287783,0.000381863,0,0.00048852
135,10,200,40,5,1773,0.000328721,3.860311879,0.000501359,8.52E-05,0,0.00048852
136,10,200,40,6,1737,0.001967514,3.783758925,0.000227118,0.000519989,0,0.00048852
137,10,200,40,7,1903,0.000900952,3.779137611,5.08E-05,0.000238402,0,0.00048852
138,10,200,40,8,2130,0.003292976,3.841550356,0,0.0008572,0,0.00048852
139,10,200,40,9,1973,0.002036079,3.853969361,0.00013463,0.000528307,0,0.00048852
140,10,200,40,10,2167,0.000695571,3.888487997,0.000983057,0.000178879,0,0.00048852
141,10,200,80,1,1717,0.000401244,3.998658058,0.000295047,0.000100345,0,0.00048852
142,10,200,80,2,1815,0.001252119,3.974010824,0.000289661,0.000315077,0,0.00048852
143,10,200,80,3,1821,0.001292432,3.948440063,8.23E-05,0.000327327,0,0.00048852
144,10,200,80,4,1954,0.000836481,3.883143686,0.000244138,0.000215413,0,0.00048852
145,10,200,80,5,1961,0.002660648,3.860859838,0.001077472,0.000689134,0,0.00048852
146,10,200,80,6,2177,0.001028352,4.017694802,0.001500792,0.000255956,0,0.00048852
147,10,200,80,7,1981,0.000846814,3.850057646,0.000206984,0.000219948,0,0.00048852
148,10,200,80,8,2123,0.001375448,3.887334524,0.000424539,0.000353828,0,0.00048852
149,10,200,80,9,2373,0.003750691,3.909452212,0.000237333,0.00095939,0,0.00048852
150,10,200,80,10,2005,0.001429014,3.973153852,0.000267907,0.000359667,0,0.00048852
151,10,400,20,1,1717,0.001142018,3.739324107,0.000560676,0.000305408,0,0.00048852
152,10,400,20,2,1762,0.001146092,3.690665313,4.22E-05,0.000310538,0,0.00048852
153,10,400,20,3,1889,0.001089366,3.648667741,0.001194944,0.000298565,0,0.00048852
154,10,400,20,4,2011,0.000839383,3.650345336,0.000283416,0.000229946,0,0.00048852
155,10,400,20,5,1973,0.000843394,3.666075489,0.000469751,0.000230054,0,0.00048852
156,10,400,20,6,2097,0.001760633,3.707180762,0.000800445,0.000474925,0,0.00048852
157,10,400,20,7,2263,0.001428833,3.803392168,8.44E-05,0.000375673,0,0.00048852
158,10,400,20,8,2270,0.001018029,3.76148638,0.00026793,0.000270645,0,0.00048852
159,10,400,20,9,2477,0.000821529,3.742488765,0.000177665,0.000219514,0,0.00048852
160,10,400,20,10,2599,0.001090424,3.578038547,0.000188971,0.000304755,0,0.00048852
161,10,400,40,1,1717,0.000726547,3.880831773,0.000414921,0.000187214,0,0.00048852
162,10,400,40,2,1776,0.000983837,3.81886936,8.71E-05,0.000257625,0,0.00048852
163,10,400,40,3,1865,0.001811706,3.905327772,0.000602071,0.000463906,0,0.00048852
164,10,400,40,4,1816,0.001332352,3.83312736,0.000370527,0.000347589,0,0.00048852
165,10,400,40,5,1829,0.000767459,3.787286905,0.000116933,0.000202641,0,0.00048852
166,10,400,40,6,1837,0.000786959,3.850191721,0.000315728,0.000204395,0,0.00048852
167,10,400,40,7,2071,0.002145611,3.862759442,0.000641143,0.000555461,0,0.00048852
168,10,400,40,8,2004,0.001655392,3.84144609,0.001066599,0.000430929,0,0.00048852
169,10,400,40,9,2325,0.001115744,3.885792825,0.000560404,0.000287134,0,0.00048852
170,10,400,40,10,2014,0.002307801,3.841992016,0.000822376,0.000600678,0,0.00048852
171,10,400,80,1,1717,0.000772992,3.911339948,0.000939335,0.000197628,0,0.00048852
172,10,400,80,2,1796,0.003273249,3.986449465,0.000416076,0.000821094,0,0.00048852
173,10,400,80,3,1881,0.001761182,3.944423998,0.000591048,0.000446499,0,0.00048852
174,10,400,80,4,1834,0.001162374,3.91379811,0.000871732,0.000296994,0,0.00048852
175,10,400,80,5,1797,0.001891302,3.880170243,0.000482288,0.000487427,0,0.00048852
176,10,400,80,6,2207,0.00034247,3.928901174,0.000547927,8.72E-05,0,0.00048852
177,10,400,80,7,2293,0.001787836,3.877913678,0.000669449,0.00046103,0,0.00048852
178,10,400,80,8,1983,0.001130222,3.98254687,0.000224401,0.000283794,0,0.00048852
179,10,400,80,9,1997,0.002890408,3.972185159,0.000412872,0.000727662,0,0.00048852
180,10,400,80,10,2293,0.001787836,3.877913678,0.000669449,0.00046103,0,0.00048852
181,20,100,20,1,1717,0,3.833774632,0,0,0,4.77E-07
182,20,100,20,2,1816,0,3.958001029,0,0,0,4.77E-07
183,20,100,20,3,1829,0,3.92280554,0,0,0,4.77E-07
184,20,100,20,4,1996,0,3.700877404,0,0,0,4.77E-07
185,20,100,20,5,1893,0,3.806894615,0,0,0,4.77E-07
186,20,100,20,6,1877,0,3.719907442,0,0,0,4.77E-07
187,20,100,20,7,2005,0,3.855740566,0,0,0,4.77E-07
188,20,100,20,8,2291,0,3.563788634,0,0,0,4.77E-07
189,20,100,20,9,1797,0,3.762946462,0,0,0,4.77E-07
190,20,100,20,10,1789,0,3.79490823,0,0,0,4.77E-07
191,20,100,40,1,1717,0,3.8591431,0,0,0,4.77E-07
192,20,100,40,2,1744,0,3.819111593,0,0,0,4.77E-07
193,20,100,40,3,1739,0,3.857828184,0,0,0,4.77E-07
194,20,100,40,4,1939,0,3.791296973,0,0,0,4.77E-07
195,20,100,40,5,1941,0,4.036349047,0,0,0,4.77E-07
196,20,100,40,6,1732,0,3.827845157,0,0,0,4.77E-07
197,20,100,40,7,2089,0,3.856993278,0,0,0,4.77E-07
198,20,100,40,8,2242,0,3.799737722,0,0,0,4.77E-07
199,20,100,40,9,2157,0,3.892540671,0,0,0,4.77E-07
200,20,100,40,10,2086,0,3.939897611,0,0,0,4.77E-07
201,20,100,80,1,1717,0,3.933256118,0,0,0,4.77E-07
202,20,100,80,2,1769,0,3.873089265,0,0,0,4.77E-07
203,20,100,80,3,1873,0,3.871165585,0,0,0,4.77E-07
204,20,100,80,4,1945,0,3.882854278,0,0,0,4.77E-07
205,20,100,80,5,1921,0,3.930274763,0,0,0,4.77E-07
206,20,100,80,6,1897,1.90E-05,3.990478304,0,4.75E-06,0,4.77E-07
207,20,100,80,7,1729,0,3.825180386,0,0,0,4.77E-07
208,20,100,80,8,2060,0,3.931511454,0,0,0,4.77E-07
209,20,100,80,9,2461,0,3.908955253,0,0,0,4.77E-07
210,20,100,80,10,2302,0,3.901085042,0,0,0,4.77E-07
211,20,200,20,1,1717,0,3.60916653,0,0,0,4.77E-07
212,20,200,20,2,1781,0,3.762922433,0,0,0,4.77E-07
213,20,200,20,3,1777,0,3.637947465,0,0,0,4.77E-07
214,20,200,20,4,1999,0,3.689806884,0,0,0,4.77E-07
215,20,200,20,5,1949,0,3.721167269,0,0,0,4.77E-07
216,20,200,20,6,1842,0,3.679338118,0,0,0,4.77E-07
217,20,200,20,7,1825,0,3.655095352,0,0,0,4.77E-07
218,20,200,20,8,2151,0,3.840636388,0,0,0,4.77E-07
219,20,200,20,9,1741,0,3.709232777,0,0,0,4.77E-07
220,20,200,20,10,2212,0,3.672300891,0,0,0,4.77E-07
221,20,200,40,1,1717,0,3.879983263,0,0,0,4.77E-07
222,20,200,40,2,1816,0,3.94333282,0,0,0,4.77E-07
223,20,200,40,3,1837,0,3.784983216,0,0,0,4.77E-07
224,20,200,40,4,1864,0,3.848413127,0,0,0,4.77E-07
225,20,200,40,5,1721,0,3.835955832,0,0,0,4.77E-07
226,20,200,40,6,2197,3.01E-07,3.925865123,0,7.68E-08,0,4.77E-07
227,20,200,40,7,2005,0,3.861876585,0,0,0,4.77E-07
228,20,200,40,8,2319,0,3.809110987,0,0,0,4.77E-07
229,20,200,40,9,2253,0,3.881373211,0,0,0,4.77E-07
230,20,200,40,10,1978,0,3.724018463,0,0,0,4.77E-07
231,20,200,80,1,1717,0,3.927638804,0,0,0,4.77E-07
232,20,200,80,2,1722,3.07E-06,3.99542169,0,7.69E-07,0,4.77E-07
233,20,200,80,3,1831,0,3.819299344,0,0,0,4.77E-07
234,20,200,80,4,1873,0,3.97254911,0,0,0,4.77E-07
235,20,200,80,5,1869,0,3.996083444,0,0,0,4.77E-07
236,20,200,80,6,1942,0,3.950983008,0,0,0,4.77E-07
237,20,200,80,7,2113,0,3.897196765,0,0,0,4.77E-07
238,20,200,80,8,1892,0,3.87610005,0,0,0,4.77E-07
239,20,200,80,9,2501,0,3.918625207,0,0,0,4.77E-07
240,20,200,80,10,2428,0,3.916345373,0,0,0,4.77E-07
241,20,400,20,1,1717,0,3.736870065,0,0,0,4.77E-07
242,20,400,20,2,1766,0,3.702405207,0,0,0,4.77E-07
243,20,400,20,3,1811,1.70E-05,3.800405382,0,4.47E-06,0,4.77E-07
244,20,400,20,4,1825,0,3.66961356,0,0,0,4.77E-07
245,20,400,20,5,1941,0,3.691687371,0,0,0,4.77E-07
246,20,400,20,6,1807,0,3.666701874,0,0,0,4.77E-07
247,20,400,20,7,2029,0,3.71967043,0,0,0,4.77E-07
248,20,400,20,8,2032,0,3.733188578,0,0,0,4.77E-07
249,20,400,20,9,1909,0,3.766441562,0,0,0,4.77E-07
250,20,400,20,10,2284,0,3.794387178,0,0,0,4.77E-07
251,20,400,40,1,1717,0,3.94537554,0,0,0,4.77E-07
252,20,400,40,2,1782,1.34E-06,3.847856016,0,3.47E-07,0,4.77E-07
253,20,400,40,3,1871,0,3.91881976,0,0,0,4.77E-07
254,20,400,40,4,2008,0,3.777826939,0,0,0,4.77E-07
255,20,400,40,5,1889,0,3.860981842,0,0,0,4.77E-07
256,20,400,40,6,2087,0,3.833209093,0,0,0,4.77E-07
257,20,400,40,7,2203,0,3.87064998,0,0,0,4.77E-07
258,20,400,40,8,2375,0,3.847580136,0,0,0,4.77E-07
259,20,400,40,9,2197,0,3.885187962,0,0,0,4.77E-07
260,20,400,40,10,2032,8.72E-09,3.833735996,0,2.27E-09,0,4.77E-07
261,20,400,80,1,1717,0,3.955985062,0,0,0,4.77E-07
262,20,400,80,2,1719,0,3.962252686,0,0,0,4.77E-07
263,20,400,80,3,1761,0,3.951405949,0,0,0,4.77E-07
264,20,400,80,4,1759,0,3.920632175,0,0,0,4.77E-07
265,20,400,80,5,2109,1.82E-06,3.92842967,0,4.63E-07,0,4.77E-07
266,20,400,80,6,2022,5.09E-07,3.921228805,0,1.30E-07,0,4.77E-07
267,20,400,80,7,2041,0,3.9299711,0,0,0,4.77E-07
268,20,400,80,8,2214,8.21E-06,3.91096512,0,2.10E-06,0,4.77E-07
269,20,400,80,9,2093,0,3.901355903,0,0,0,4.77E-07
270,20,400,80,10,1861,4.34E-08,3.954956437,0,1.10E-08,0,4.77E-07
271,40,100,20,1,1717,0,3.833774632,0,0,0,4.55E-13
272,40,100,20,2,1816,0,3.958001029,0,0,0,4.55E-13
273,40,100,20,3,1829,0,3.92280554,0,0,0,4.55E-13
274,40,100,20,4,1996,0,3.700877404,0,0,0,4.55E-13
275,40,100,20,5,1893,0,3.806894615,0,0,0,4.55E-13
276,40,100,20,6,1877,0,3.719907442,0,0,0,4.55E-13
277,40,100,20,7,2005,0,3.855740566,0,0,0,4.55E-13
278,40,100,20,8,2291,0,3.563788634,0,0,0,4.55E-13
279,40,100,20,9,1797,0,3.762946462,0,0,0,4.55E-13
280,40,100,20,10,1789,0,3.79490823,0,0,0,4.55E-13
281,40,100,40,1,1717,0,3.8591431,0,0,0,4.55E-13
282,40,100,40,2,1744,0,3.819111593,0,0,0,4.55E-13
283,40,100,40,3,1739,0,3.857828184,0,0,0,4.55E-13
284,40,100,40,4,1939,0,3.791296973,0,0,0,4.55E-13
285,40,100,40,5,1941,0,4.036349047,0,0,0,4.55E-13
286,40,100,40,6,1732,0,3.827845157,0,0,0,4.55E-13
287,40,100,40,7,2089,0,3.856993278,0,0,0,4.55E-13
288,40,100,40,8,2242,0,3.799737722,0,0,0,4.55E-13
289,40,100,40,9,2157,0,3.892540671,0,0,0,4.55E-13
290,40,100,40,10,2086,0,3.939897611,0,0,0,4.55E-13
291,40,100,80,1,1717,0,3.933256118,0,0,0,4.55E-13
292,40,100,80,2,1769,0,3.873089265,0,0,0,4.55E-13
293,40,100,80,3,1873,0,3.871165585,0,0,0,4.55E-13
294,40,100,80,4,1945,0,3.882854278,0,0,0,4.55E-13
295,40,100,80,5,1921,0,3.930274763,0,0,0,4.55E-13
296,40,100,80,6,1897,0,3.990478304,0,0,0,4.55E-13
297,40,100,80,7,1729,0,3.825180386,0,0,0,4.55E-13
298,40,100,80,8,1983,0,4.085927116,0,0,0,4.55E-13
299,40,100,80,9,2461,0,3.908955253,0,0,0,4.55E-13
300,40,100,80,10,2302,0,3.901085042,0,0,0,4.55E-13
301,40,200,20,1,1717,0,3.60916653,0,0,0,4.55E-13
302,40,200,20,2,1781,0,3.762922433,0,0,0,4.55E-13
303,40,200,20,3,1777,0,3.637947465,0,0,0,4.55E-13
304,40,200,20,4,1999,0,3.689806884,0,0,0,4.55E-13
305,40,200,20,5,1949,0,3.721167269,0,0,0,4.55E-13
306,40,200,20,6,1842,0,3.679338118,0,0,0,4.55E-13
307,40,200,20,7,1825,0,3.655095352,0,0,0,4.55E-13
308,40,200,20,8,2151,0,3.840636388,0,0,0,4.55E-13
309,40,200,20,9,1741,0,3.709232777,0,0,0,4.55E-13
310,40,200,20,10,2212,0,3.672300891,0,0,0,4.55E-13
311,40,200,40,1,1717,0,3.879983263,0,0,0,4.55E-13
312,40,200,40,2,1816,0,3.94333282,0,0,0,4.55E-13
313,40,200,40,3,1837,0,3.784983216,0,0,0,4.55E-13
314,40,200,40,4,1864,0,3.848413127,0,0,0,4.55E-13
315,40,200,40,5,1721,0,3.835955832,0,0,0,4.55E-13
316,40,200,40,6,2197,0,3.925865123,0,0,0,4.55E-13
317,40,200,40,7,1993,0,3.816391365,0,0,0,4.55E-13
318,40,200,40,8,2319,0,3.809110987,0,0,0,4.55E-13
319,40,200,40,9,2253,0,3.881373211,0,0,0,4.55E-13
320,40,200,40,10,1978,0,3.724018463,0,0,0,4.55E-13
321,40,200,80,1,1717,0,3.927638804,0,0,0,4.55E-13
322,40,200,80,2,1722,0,3.99542169,0,0,0,4.55E-13
323,40,200,80,3,1729,0,3.96266525,0,0,0,4.55E-13
324,40,200,80,4,1870,0,3.92697976,0,0,0,4.55E-13
325,40,200,80,5,1865,0,4.015527216,0,0,0,4.55E-13
326,40,200,80,6,2167,0,3.953880132,0,0,0,4.55E-13
327,40,200,80,7,1741,0,3.919535024,0,0,0,4.55E-13
328,40,200,80,8,1850,0,4.013769311,0,0,0,4.55E-13
329,40,200,80,9,1749,0,3.893171985,0,0,0,4.55E-13
330,40,200,80,10,2230,0,3.841773374,0,0,0,4.55E-13
331,40,400,20,1,1717,0,3.736870065,0,0,0,4.55E-13
332,40,400,20,2,1766,0,3.702405207,0,0,0,4.55E-13
333,40,400,20,3,1811,0,3.800405382,0,0,0,4.55E-13
334,40,400,20,4,1777,0,3.69887262,0,0,0,4.55E-13
335,40,400,20,5,1737,0,3.697064759,0,0,0,4.55E-13
