,K,nparticles,nmeantimes,buffer_size_activation,buffer_size_activation_value,rep,seed,integral,E(T),PMC(K),PFV1(K),PFV2(K),Pr(K),Error(MC),Error(FV)
231,20,200,30,0.3,6,7,1723,0.002707203,5.990453567,0.00%,0.05%,0.000613569,0.1%,-0.12%,-0.08%
232,20,200,30,0.3,6,8,1724,0.005086239,5.945450617,0.00%,0.09%,0,0.1%,-0.12%,-0.04%
233,20,400,30,0.3,6,1,1717,0.002276831,5.942300476,0.01%,0.04%,0,0.1%,-0.11%,-0.09%
234,20,400,30,0.3,6,2,1718,0.002080788,5.669123249,0.0205%,0.0367%,0,0.1%,-0.10%,-0.09%
235,20,400,30,0.3,6,3,1719,0.003524148,5.992873015,0.02%,0.06%,0,0.1%,-0.11%,-0.07%
236,20,400,30,0.3,6,4,1720,0.004297639,5.722271395,0.04%,0.08%,0,0.1%,-0.08%,-0.05%
237,20,400,30,0.3,6,5,1721,0.002541666,5.739878233,0.04%,0.04%,0,0.1%,-0.08%,-0.08%
238,20,400,30,0.3,6,6,1722,0.001199762,6.205878278,0.02%,0.02%,0,0.1%,-0.10%,-0.11%
239,20,400,30,0.3,6,7,1723,0.003588329,5.724919045,0.05%,0.06%,0.00050322,0.1%,-0.08%,-0.06%
240,20,400,30,0.3,6,8,1724,0.002571202,5.845111143,0.03%,0.04%,0,0.1%,-0.10%,-0.08%
241,20,100,30,0.4,8,1,1717,0.008330011,7.060126522,0.04%,0.12%,0.004760737,0.1%,-0.08%,-0.01%
242,20,100,30,0.4,8,2,1718,0.011413837,7.059839899,0.0000%,0.1617%,0.002790046,0.1%,-0.12%,0.04%
243,20,100,30,0.4,8,3,1719,0.005011047,7.39704672,0.01%,0.07%,2.85E-05,0.1%,-0.11%,-0.06%
244,20,100,30,0.4,8,4,1720,0.012473635,7.115059534,0.05%,0.18%,0.008028588,0.1%,-0.08%,0.05%
245,20,100,30,0.4,8,5,1721,0.009679964,7.986701474,0.20%,0.12%,0.004912424,0.1%,0.08%,0.00%
246,20,100,30,0.4,8,6,1722,0.003869177,6.935600166,0.06%,0.06%,0.004109495,0.1%,-0.07%,-0.07%
247,20,100,30,0.4,8,7,1723,0.006360038,6.666398895,0.00%,0.10%,0.004114637,0.1%,-0.12%,-0.03%
248,20,100,30,0.4,8,8,1724,0.008701108,7.501371402,0.25%,0.12%,0.006412432,0.1%,0.12%,-0.01%
249,20,200,30,0.4,8,1,1717,0.008792638,7.259777104,0.11%,0.12%,0.004474396,0.1%,-0.02%,0.00%
250,20,200,30,0.4,8,2,1718,0.008833293,7.345650463,0.0329%,0.1203%,0.004683325,0.1%,-0.09%,0.00%
251,20,200,30,0.4,8,3,1719,0.007812925,7.293921619,0.01%,0.11%,0.004217691,0.1%,-0.11%,-0.02%
252,20,200,30,0.4,8,4,1720,0.009542088,7.23903108,0.03%,0.13%,0.010267819,0.1%,-0.09%,0.01%
253,20,200,30,0.4,8,5,1721,0.013434885,7.033519958,0.12%,0.19%,0.013424149,0.1%,0.00%,0.07%
254,20,200,30,0.4,8,6,1722,0.008249885,7.281172536,0.02%,0.11%,0.007726268,0.1%,-0.10%,-0.01%
255,20,200,30,0.4,8,7,1723,0.005261337,6.850248731,0.03%,0.08%,0.002674769,0.1%,-0.10%,-0.05%
256,20,200,30,0.4,8,8,1724,0.007668903,6.990987942,0.17%,0.11%,0.005619069,0.1%,0.05%,-0.01%
257,20,400,30,0.4,8,1,1717,0.008452294,7.039014237,0.10%,0.12%,0.003949973,0.1%,-0.03%,0.00%
258,20,400,30,0.4,8,2,1718,0.007305438,7.198950162,0.0143%,0.1015%,0.003514047,0.1%,-0.11%,-0.02%
259,20,400,30,0.4,8,3,1719,0.009182912,7.050775038,0.04%,0.13%,0.004893944,0.1%,-0.09%,0.01%
260,20,400,30,0.4,8,4,1720,0.00728146,7.025483853,0.05%,0.10%,0.003458192,0.1%,-0.08%,-0.02%
261,20,400,30,0.4,8,5,1721,0.009361151,7.705586619,0.09%,0.12%,0.007924341,0.1%,-0.04%,0.00%
262,20,400,30,0.4,8,6,1722,0.005953241,7.011894595,0.04%,0.08%,0.007507552,0.1%,-0.08%,-0.04%
263,20,400,30,0.4,8,7,1723,0.004993021,7.222429069,0.08%,0.07%,0.004336082,0.1%,-0.04%,-0.06%
264,20,400,30,0.4,8,8,1724,0.006801575,7.306649712,0.10%,0.09%,0.003760488,0.1%,-0.03%,-0.03%
265,20,100,30,0.5,10,1,1717,0.009163129,8.27146111,0.04%,0.11%,0.012645474,0.1%,-0.08%,-0.01%
266,20,100,30,0.5,10,2,1718,0.015617068,6.273281268,0.0000%,0.2489%,0.022508536,0.1%,-0.12%,0.12%
267,20,100,30,0.5,10,3,1719,0.013940216,6.411876921,0.00%,0.22%,0.020659878,0.1%,-0.12%,0.09%
268,20,100,30,0.5,10,4,1720,0.007408849,7.115363969,0.34%,0.10%,0.009940578,0.1%,0.21%,-0.02%
269,20,100,30,0.5,10,5,1721,0.011929002,6.557395825,0.00%,0.18%,0.023301522,0.1%,-0.12%,0.06%
270,20,100,30,0.5,10,6,1722,0.009739409,6.432814581,0.27%,0.15%,0.017685834,0.1%,0.15%,0.03%
271,20,100,30,0.5,10,7,1723,0.021233122,8.009926785,0.08%,0.27%,0.019176752,0.1%,-0.05%,0.14%
272,20,100,30,0.5,10,8,1724,0.028383426,6.79082666,0.07%,0.42%,0.037794198,0.1%,-0.06%,0.29%
273,20,200,30,0.5,10,1,1717,0.025864095,7.199875479,0.03%,0.36%,0.024732985,0.1%,-0.09%,0.23%
274,20,200,30,0.5,10,2,1718,0.013875963,6.540237711,0.0121%,0.2122%,0.027948911,0.1%,-0.11%,0.09%
275,20,200,30,0.5,10,3,1719,0.018538057,6.062831681,0.08%,0.31%,0.020948868,0.1%,-0.05%,0.18%
276,20,200,30,0.5,10,4,1720,0.019753255,7.470538456,0.12%,0.26%,0.018479778,0.1%,-0.01%,0.14%
277,20,200,30,0.5,10,5,1721,0.02051097,6.528872726,0.03%,0.31%,0.021539083,0.1%,-0.10%,0.19%
278,20,200,30,0.5,10,6,1722,0.016098146,7.164716656,0.06%,0.22%,0.020795963,0.1%,-0.07%,0.10%
279,20,200,30,0.5,10,7,1723,0.01509021,7.143006699,0.00%,0.21%,0.018616354,0.1%,-0.12%,0.09%
280,20,200,30,0.5,10,8,1724,0.021853776,7.538467387,0.11%,0.29%,0.025267007,0.1%,-0.02%,0.17%
281,20,400,30,0.5,10,1,1717,0.01352132,7.46731584,0.08%,0.18%,0.012931763,0.1%,-0.05%,0.06%
282,20,400,30,0.5,10,2,1718,0.016769676,7.088717199,0.2911%,0.2366%,0.018168873,0.1%,0.17%,0.11%
283,20,400,30,0.5,10,3,1719,0.01480738,7.118433174,0.05%,0.21%,0.017080099,0.1%,-0.07%,0.08%
284,20,400,30,0.5,10,4,1720,0.017714145,7.155609042,0.43%,0.25%,0.017175597,0.1%,0.30%,0.12%
285,20,400,30,0.5,10,5,1721,0.020916105,7.96859296,0.10%,0.26%,0.018637392,0.1%,-0.02%,0.14%
286,20,400,30,0.5,10,6,1722,0.018986992,6.952075325,0.16%,0.27%,0.020501514,0.1%,0.04%,0.15%
287,20,400,30,0.5,10,7,1723,0.014234283,6.849780311,0.21%,0.21%,0.015400502,0.1%,0.09%,0.08%
288,20,400,30,0.5,10,8,1724,0.021088801,7.585570741,0.16%,0.28%,0.018093245,0.1%,0.03%,0.15%
289,40,100,30,0.2,8,1,1717,0,7.187320666,0.00%,0.00%,0,0.0%,0.00%,0.00%
290,40,100,30,0.2,8,2,1718,0,7.059839899,0.00%,0.00%,0,0.0%,0.00%,0.00%
291,40,100,30,0.2,8,3,1719,0,7.39704672,0.00%,0.00%,0,0.0%,0.00%,0.00%
292,40,100,30,0.2,8,4,1720,0,7.115059534,0.00%,0.00%,0,0.0%,0.00%,0.00%
293,40,100,30,0.2,8,5,1721,0,6.916425648,0.00%,0.00%,0,0.0%,0.00%,0.00%
294,40,100,30,0.2,8,6,1722,0,6.935600166,0.00%,0.00%,0,0.0%,0.00%,0.00%
295,40,100,30,0.2,8,7,1723,0,6.666398895,0.00%,0.00%,0,0.0%,0.00%,0.00%
296,40,100,30,0.2,8,8,1724,0,7.501371402,0.00%,0.00%,0,0.0%,0.00%,0.00%
297,40,200,30,0.2,8,1,1717,0,7.259777104,0.00%,0.00%,0,0.0%,0.00%,0.00%
298,40,200,30,0.2,8,2,1718,0,7.345650463,0.00%,0.00%,0,0.0%,0.00%,0.00%
299,40,200,30,0.2,8,3,1719,0,7.293921619,0.00%,0.00%,0,0.0%,0.00%,0.00%
300,40,200,30,0.2,8,4,1720,0,7.23903108,0.00%,0.00%,0,0.0%,0.00%,0.00%
301,40,200,30,0.2,8,5,1721,0,7.672221747,0.00%,0.00%,0,0.0%,0.00%,0.00%
302,40,200,30,0.2,8,6,1722,0,7.281172536,0.00%,0.00%,0,0.0%,0.00%,0.00%
303,40,200,30,0.2,8,7,1723,0,6.850248731,0.00%,0.00%,0,0.0%,0.00%,0.00%
304,40,200,30,0.2,8,8,1724,0,6.965218474,0.00%,0.00%,0,0.0%,0.00%,0.00%
305,40,400,30,0.2,8,1,1717,0,7.039014237,0.00%,0.00%,0,0.0%,0.00%,0.00%
306,40,400,30,0.2,8,2,1718,0,6.839792073,0.00%,0.00%,0,0.0%,0.00%,0.00%
307,40,400,30,0.2,8,3,1719,0,7.050775038,0.00%,0.00%,0,0.0%,0.00%,0.00%
308,40,400,30,0.2,8,4,1720,0,7.025483853,0.00%,0.00%,0,0.0%,0.00%,0.00%
309,40,400,30,0.2,8,5,1721,0,7.27871354,0.00%,0.00%,0,0.0%,0.00%,0.00%
310,40,400,30,0.2,8,6,1722,0,7.011894595,0.00%,0.00%,0,0.0%,0.00%,0.00%
311,40,400,30,0.2,8,7,1723,0,7.222429069,0.00%,0.00%,0,0.0%,0.00%,0.00%
312,40,400,30,0.2,8,8,1724,0,7.306649712,0.00%,0.00%,0,0.0%,0.00%,0.00%
313,40,100,30,0.3,12,1,1717,0,9.52387766,0.00%,0.00%,0,0.0%,0.00%,0.00%
314,40,100,30,0.3,12,2,1718,0,10.74342677,0.00%,0.00%,0,0.0%,0.00%,0.00%
315,40,100,30,0.3,12,3,1719,0,5.752083254,0.00%,0.00%,0,0.0%,0.00%,0.00%
316,40,100,30,0.3,12,4,1720,0,6.669538116,0.00%,0.00%,0,0.0%,0.00%,0.00%
