,E(T),K,PFV1(K),PFV2(K),PMC(K),Pr(K),buffer_size_activation,buffer_size_activation_value,integral,nmeantimes,nparticles,rep,seed
3,7.988736907835384,5.0,0.015885361989721788,0.05864517500971439,0.014156925959915476,0.015873015873015872,0.4,2.0,0.1269039776216158,30.0,200.0,7.0,1723.0
3,7.82661449716759,5.0,0.016522744249427575,0.057276989396116904,0.014442961690837888,0.015873015873015872,0.4,2.0,0.1293171496755623,30.0,200.0,8.0,1724.0
4,7.825039442942405,5.0,0.014749342947748111,0.06460342170609426,0.014274675320514107,0.015873015873015872,0.4,2.0,0.11541419032361337,30.0,400.0,1.0,1717.0
4,7.753965397206,5.0,0.015932811595361113,0.06939723423724338,0.014902812382527561,0.015873015873015872,0.4,2.0,0.12354246979063258,30.0,400.0,2.0,1718.0
4,7.949390799572716,5.0,0.012780536917013368,0.06422983157004329,0.012651061031315481,0.015873015873015872,0.4,2.0,0.1015974825817055,30.0,400.0,3.0,1719.0
4,7.901836992560646,5.0,0.012847866579939415,0.05291665821996913,0.016742641937176745,0.015873015873015872,0.4,2.0,0.10152174741684891,30.0,400.0,4.0,1720.0
4,7.682462128549013,5.0,0.01378455916839437,0.06990912122793945,0.014681341488775217,0.015873015873015872,0.4,2.0,0.10589935376993283,30.0,400.0,5.0,1721.0
4,7.891900880569581,5.0,0.01200999479346079,0.07286488663038185,0.017461889823235165,0.015873015873015872,0.4,2.0,0.09478168848614929,30.0,400.0,6.0,1722.0
4,7.8325646560742745,5.0,0.014758576128006603,0.07264291135813382,0.01439772874046433,0.015873015873015872,0.4,2.0,0.11559750175420604,30.0,400.0,7.0,1723.0
4,7.820661700148211,5.0,0.013103247393782875,0.07161748327542845,0.014357404731922166,0.015873015873015872,0.4,2.0,0.10247606504012459,30.0,400.0,8.0,1724.0
5,15.341774566992507,5.0,0.013828988162910682,0.046715691584729095,0.013497889896417798,0.015873015873015872,0.6,3.0,0.21216121888498354,30.0,200.0,1.0,1717.0
5,16.32151336681003,5.0,0.013793516835213855,0.040476525714604326,0.014711089208962174,0.015873015873015872,0.6,3.0,0.22513106940126212,30.0,200.0,2.0,1718.0
5,17.082043272958185,5.0,0.01234587572093652,0.031773629180727014,0.011211306424622033,0.015873015873015872,0.6,3.0,0.21089278330760144,30.0,200.0,3.0,1719.0
5,16.59762385372034,5.0,0.01415871527998425,0.04509334387959357,0.015385174973343812,0.015873015873015872,0.6,3.0,0.23500103046910123,30.0,200.0,4.0,1720.0
5,16.249064962047516,5.0,0.015053714795524946,0.03691357968973489,0.014269257422731753,0.015873015873015872,0.6,3.0,0.24460878963262067,30.0,200.0,5.0,1721.0
5,15.749909042455418,5.0,0.013574068868166462,0.03764304998095519,0.016940755208341044,0.015873015873015872,0.6,3.0,0.21379035000964755,30.0,200.0,6.0,1722.0
5,15.364075993951914,5.0,0.017651495524478894,0.046338120945645156,0.014192964220299864,0.015873015873015872,0.6,3.0,0.27119891864499585,30.0,200.0,7.0,1723.0
5,15.460151284579073,5.0,0.01585944509130486,0.0494401445133794,0.014444082194789995,0.015873015873015872,0.6,3.0,0.24518942040104807,30.0,200.0,8.0,1724.0
6,15.886259775769611,5.0,0.013165313071562136,0.04676421285805787,0.014281451633246093,0.015873015873015872,0.6,3.0,0.20914758348417142,30.0,400.0,1.0,1717.0
6,15.393753269940879,5.0,0.01473697416267993,0.04744271964267813,0.01490734928133578,0.015873015873015872,0.6,3.0,0.22685734420578843,30.0,400.0,2.0,1718.0
6,16.111365430924813,5.0,0.01397754667624807,0.0472225922300583,0.012685898499044576,0.015873015873015872,0.6,3.0,0.2251973623288412,30.0,400.0,3.0,1719.0
6,16.24583073219906,5.0,0.0140666730206445,0.047375391531216865,0.01674458654271596,0.015873015873015872,0.6,3.0,0.2285247888585818,30.0,400.0,4.0,1720.0
6,16.233200811060073,5.0,0.014342271892254524,0.0440483642313415,0.014691072310499044,0.015873015873015872,0.6,3.0,0.23282097971379023,30.0,400.0,5.0,1721.0
6,15.768290213996986,5.0,0.0141416710848221,0.045797099663857394,0.017473317701170926,0.015873015873015872,0.6,3.0,0.22298997377636445,30.0,400.0,6.0,1722.0
6,16.09892553395892,5.0,0.013856207122235955,0.04670484623368878,0.01442403985738444,0.015873015873015872,0.6,3.0,0.22307004664398786,30.0,400.0,7.0,1723.0
6,15.653404482253832,5.0,0.014042939095818496,0.06500713098087553,0.014351003051022876,0.015873015873015872,0.6,3.0,0.21981980578650281,30.0,400.0,8.0,1724.0
7,4.0526555770758526,10.0,4.999210683888313e-05,0.0,0.0002671655274973976,0.0004885197850512946,1.0,1.0,0.0002026007905903716,30.0,200.0,1.0,1717.0
7,4.021136348653811,10.0,0.0005055619600850113,0.0,0.00036129950305111166,0.0004885197850512946,1.0,1.0,0.0020329335741945064,30.0,200.0,2.0,1718.0
7,3.8551036312104667,10.0,0.000532955172324707,0.0,9.357209435106646e-05,0.0004885197850512946,1.0,1.0,0.002054597420101378,30.0,200.0,3.0,1719.0
7,3.9655227266819204,10.0,0.00032595538457613814,0.0,0.0009169041395082822,0.0004885197850512946,1.0,1.0,0.0012925834854210212,30.0,200.0,4.0,1720.0
7,3.931999164047764,10.0,0.0004342032090026886,0.0,0.0007509099481960381,0.0004885197850512946,1.0,1.0,0.0017072866548254282,30.0,200.0,5.0,1721.0
7,4.020884849541768,10.0,0.00015241415558597064,0.0,9.363491741430245e-05,0.0004885197850512946,1.0,1.0,0.0006128397690513312,30.0,200.0,6.0,1722.0
7,3.978309981778119,10.0,0.0005219074628812027,0.0,0.0005897022928710157,0.0004885197850512946,1.0,1.0,0.002076309669144782,30.0,200.0,7.0,1723.0
7,3.9930085422596093,10.0,0.0004632196686743332,0.0,0.0005689434799479703,0.0004885197850512946,1.0,1.0,0.0018496400939592783,30.0,200.0,8.0,1724.0
8,3.978580544143706,10.0,0.00016540380771157235,0.0,0.0003263458981412918,0.0004885197850512946,1.0,1.0,0.0006580723712885484,30.0,400.0,1.0,1717.0
8,3.9866749837064472,10.0,0.0006297042576692504,0.0,0.0009287710206909106,0.0004885197850512946,1.0,1.0,0.0025104262111834393,30.0,400.0,2.0,1718.0
8,3.917666996321196,10.0,0.00021960438448139093,0.0,0.000370147780281154,0.0004885197850512946,1.0,1.0,0.0008603368493301758,30.0,400.0,3.0,1719.0
8,3.9183924767316647,10.0,0.0007381173658800229,0.0,0.0005843560933506801,0.0004885197850512946,1.0,1.0,0.002892233533409275,30.0,400.0,4.0,1720.0
8,3.9679697661402025,10.0,0.00026773694566604897,0.0,0.0006429801462383889,0.0004885197850512946,1.0,1.0,0.0010623721056816043,30.0,400.0,5.0,1721.0
8,4.048600670176344,10.0,0.000330446938653441,0.0,0.0008804331330512005,0.0004885197850512946,1.0,1.0,0.0013378476972900426,30.0,400.0,6.0,1722.0
8,3.931126486282516,10.0,0.0005677988273273757,0.0,0.0003703699934950012,0.0004885197850512946,1.0,1.0,0.002232089008986799,30.0,400.0,7.0,1723.0
8,3.9892569261056874,10.0,0.00045395622682950916,0.0,0.0005229721201414812,0.0004885197850512946,1.0,1.0,0.001810948022028424,30.0,400.0,8.0,1724.0
9,7.952443582293982,10.0,0.00010070145954378816,0.0,0.0002673354703573389,0.0004885197850512946,0.2,2.0,0.0008008226756766353,30.0,200.0,1.0,1717.0
9,8.046267312908075,10.0,0.0003655317639763415,0.0,0.0003616048588504951,0.0004885197850512946,0.2,2.0,0.0029411662843124658,30.0,200.0,2.0,1718.0
9,7.9547217131350125,10.0,0.00023656992459891694,0.0,9.364481848281633e-05,0.0004885197850512946,0.2,2.0,0.0018818479158817173,30.0,200.0,3.0,1719.0
9,8.25314333033571,10.0,0.000350503339334135,0.0,0.0009178331762709844,0.0004885197850512946,0.2,2.0,0.0028927542972859107,30.0,200.0,4.0,1720.0
9,8.044107818943225,10.0,0.0002310792896194956,0.0,0.0007510830409960828,0.0004885197850512946,0.2,2.0,0.0018588267204240304,30.0,200.0,5.0,1721.0
9,7.836102127785726,10.0,0.00029575144164382575,0.0,9.370586374158406e-05,0.0004885197850512946,0.2,2.0,0.002317538501160879,30.0,200.0,6.0,1722.0
9,8.015419395837506,10.0,0.00023497999459841558,0.0,0.0005894822069918184,0.0004885197850512946,0.2,2.0,0.0018834632063379328,30.0,200.0,7.0,1723.0
