,rhos,K,nparticles,nmeantimes,multiplier,buffer_size_activation,buffer_size_activation_value,rep,seed,integral,E(T),PMC(K),PFV(K),Pr(K),maxtime(MC),maxtime(FV),ratio_maxtime_mc_fv
0,0.7,40.0,800.0,50.0,1.2,1.0,1.0,12.0,1324.0,0.0,4.830261266195882,0.0,0.0,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,0.25,10.0,1.0,1313.0,4.512217827092164e-05,108.59450020615155,0.0,4.1551071357447626e-07,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,0.25,10.0,2.0,1314.0,0.0,118.71972533287295,0.0,0.0,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,0.25,10.0,3.0,1315.0,0.0,115.22942915769464,0.0,0.0,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,0.25,10.0,4.0,1316.0,0.0,104.20993696377614,0.0,0.0,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,0.25,10.0,5.0,1317.0,1.1138483300810324e-05,103.62673920027481,0.0,1.0748657524853185e-07,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,0.25,10.0,6.0,1318.0,0.0,113.37015759622992,0.0,0.0,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,0.25,10.0,7.0,1319.0,4.046523100169979e-06,111.93325952291485,0.0,3.615121294079334e-08,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,0.25,10.0,8.0,1320.0,4.154236547383535e-05,124.78485101317084,0.0,3.3291192910468453e-07,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,0.25,10.0,9.0,1321.0,0.0,117.11409522860512,0.0,0.0,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,0.25,10.0,10.0,1322.0,6.126049573639756e-05,93.77533192014474,0.0,6.532687699635605e-07,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,0.25,10.0,11.0,1323.0,0.0,109.90112120351444,0.0,0.0,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,0.25,10.0,12.0,1324.0,0.0,119.00431306983783,0.0,0.0,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,0.5,20.0,1.0,1313.0,0.0,8362.487886394503,0.0,0.0,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,0.5,20.0,2.0,1314.0,0.0006780755853177795,2339.29086412694,0.0,2.8986373422650367e-07,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,0.5,20.0,3.0,1315.0,0.0,2366.859266408186,0.0,0.0,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,0.5,20.0,4.0,1316.0,0.0023682880251856757,2869.113283278811,0.0,8.254424943720611e-07,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,0.5,20.0,5.0,1317.0,0.0,4824.821011192583,0.0,0.0,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,0.5,20.0,6.0,1318.0,4.408136393255205e-05,2940.600275393883,0.0,1.499060049113527e-08,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,0.5,20.0,7.0,1319.0,0.0,2729.770096433642,0.0,0.0,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,0.5,20.0,8.0,1320.0,0.0,4087.327638939488,0.0,0.0,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,0.5,20.0,9.0,1321.0,0.0002765275795921858,926.4077312687081,0.0,2.984944644335853e-07,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,0.5,20.0,10.0,1322.0,2.8317708577020504e-05,1888.1125521337922,0.0,1.49978922310633e-08,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,0.5,20.0,11.0,1323.0,0.0,2358.0279968105788,0.0,0.0,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
0,0.7,40.0,800.0,50.0,1.2,0.5,20.0,12.0,1324.0,0.0,6089.271684008337,0.0,0.0,1.9100425795336106e-07,68571.42857142858,71.42857142857143,1.2000000000000002
