,,,n,n,n,n,mean,mean,mean,mean,std,std,std,std,min,min,min,min,max,max,max,max,SE,SE,SE,SE
,,,PMC(K),PFV1(K),PFV2(K),Pr(K),PMC(K),PFV1(K),PFV2(K),Pr(K),PMC(K),PFV1(K),PFV2(K),Pr(K),PMC(K),PFV1(K),PFV2(K),Pr(K),PMC(K),PFV1(K),PFV2(K),Pr(K),PMC(K),PFV1(K),PFV2(K),Pr(K)
K,nparticles,nmeantimes,,,,,,,,,,,,,,,,,,,,,,,,
10.0,100.0,20.0,10,10,10,10,0.01145732435219277,0.012275030991872906,0.022647390400386165,0.02353995576660312,0.003290407161456733,0.0031932782661407487,0.007924113559772005,0.0,0.006033552255023815,0.006331313567116868,0.006851741709626816,0.023539955766603123,0.014872061205715405,0.016055366719968434,0.03429616047896472,0.023539955766603123,0.0010405181059532675,0.0010098032523718106,0.002505824728670434,0.0
10.0,100.0,40.0,10,10,10,10,0.018063207945773724,0.0160554484949817,0.05806127043773575,0.02353995576660312,0.0045636825661660415,0.0025723077957880707,0.012387090963428592,0.0,0.01262118261159418,0.013933852128709075,0.04300550511609117,0.023539955766603123,0.02569392339444448,0.02067346242837376,0.07624975552119166,0.023539955766603123,0.0014431631427086775,0.0008134351477697581,0.003917142102812384,0.0
10.0,200.0,20.0,10,10,10,10,0.011966660912289052,0.011164847745590286,0.01496008534383585,0.02353995576660312,0.002162210359178221,0.0025870786718365725,0.003185728868691653,0.0,0.007144882502812055,0.008003988188991796,0.009209594720202012,0.023539955766603123,0.015525512147538879,0.01576041865779868,0.020096749446446363,0.023539955766603123,0.0006837509515413935,0.0008181061089046874,0.0010074159232817098,0.0
10.0,200.0,40.0,10,10,10,10,0.016995434804450628,0.015927287305007313,0.053396880713456066,0.02353995576660312,0.0020070895805719895,0.0036427904623618002,0.00760515142789021,0.0,0.014822413734217185,0.009631964302062047,0.04133640404140555,0.023539955766603123,0.020269971765756758,0.02202085451111037,0.06425064003934608,0.023539955766603123,0.0006346974542599524,0.0011519514899801162,0.0024049600462614862,0.0
10.0,400.0,20.0,10,10,10,10,0.011628519039339771,0.010791235044326473,0.013447005325499589,0.02353995576660312,0.0020278001821849322,0.00136808082750257,0.0019278075992112077,0.0,0.009216008857166141,0.009009996602046726,0.011501941641436798,0.023539955766603123,0.015911603188280884,0.012924502163695395,0.016971782095072732,0.023539955766603123,0.0006412467215408781,0.0004326251438116047,0.0006096262904088438,0.0
10.0,400.0,40.0,10,10,10,10,0.016488305371372042,0.016127219927522047,0.04757915401913078,0.02353995576660312,0.0017197183331308199,0.0024868244530759803,0.005596031702736872,0.0,0.013921364372064787,0.012566198963961479,0.035464700506485695,0.023539955766603123,0.018563806649639664,0.01984292337693668,0.05488900102629936,0.023539955766603123,0.0005438226866641595,0.000786402941272262,0.0017696206039158825,0.0
10.0,800.0,20.0,10,10,10,10,0.011437745965495244,0.010931686934024677,0.012382212071149985,0.02353995576660312,0.000828294988340042,0.001326051348208923,0.0016555745831928928,0.0,0.009862835445910299,0.00904539923032203,0.010282842141834938,0.023539955766603123,0.012688927569125277,0.013224243058970861,0.015584925691406447,0.023539955766603123,0.0002619298737657143,0.0004193342554677238,0.0005235386519173461,0.0
10.0,800.0,40.0,10,10,10,10,0.017344641039045178,0.01619172549107774,0.046968782609516445,0.02353995576660312,0.001156541176795297,0.0016814087601254237,0.0026705465711329857,0.0,0.015174678392791793,0.012992333121132009,0.04157058766680814,0.023539955766603123,0.019288461876903494,0.018605943947126963,0.04945788175493467,0.023539955766603123,0.0003657304326444616,0.000531708135975604,0.0008445009762333106,0.0
20.0,100.0,20.0,10,10,10,10,8.559202894920419e-05,4.7744325135136204e-05,0.0,0.0012469317753657162,0.00022595151098675246,0.00011121910143074566,0.0,0.0,0.0,0.0,0.0,0.0012469317753657165,0.0007164449372993827,0.00035846929569094556,0.0,0.0012469317753657165,7.145214154746974e-05,3.51705679838448e-05,0.0,0.0
20.0,100.0,40.0,10,10,10,10,0.0005050878342722617,0.0003220274859371085,0.0,0.0012469317753657162,0.00043249822089971146,0.0003212417952816098,0.0,0.0,0.0,1.294677221795922e-06,0.0,0.0012469317753657165,0.001129701320453024,0.0007062632254958836,0.0,0.0012469317753657165,0.00013676794620137264,0.00010158557527314185,0.0,0.0
