casenum,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,E(T),Pr(FV),Pr(K),time_fv_starts,prop_time_fv_starts,n(FV),time(FV),bias,abs(bias),rel. bias,rel. abs(bias)
12,"[0.4, 0.75, 0.35]",40,3200,8000000,0.1,4,4,4,1343,4.890894735,1.70E-06,3.94E-06,,,1679944,,-2.24E-06,2.24E-06,-56.80%,56.81%
12,"[0.4, 0.75, 0.35]",40,3200,8000000,0.1,4,4,5,1353,5.145171107,1.38E-05,3.94E-06,,,4221098,,9.82E-06,9.82E-06,249.20%,249.20%
12,"[0.4, 0.75, 0.35]",40,3200,8000000,0.1,4,4,6,1363,5.113130592,6.14E-06,3.94E-06,,,1964268,,2.20E-06,2.20E-06,55.80%,55.75%
12,"[0.4, 0.75, 0.35]",40,3200,8000000,0.1,4,4,7,1373,5.073633182,8.46E-07,3.94E-06,,,1566306,,-3.09E-06,3.09E-06,-78.50%,78.53%
12,"[0.4, 0.75, 0.35]",40,3200,8000000,0.1,4,4,8,1383,5.196458379,8.69E-06,3.94E-06,,,3382788,,4.75E-06,4.75E-06,120.40%,120.45%
12,"[0.4, 0.75, 0.35]",40,3200,8000000,0.1,4,4,9,1393,5.462702585,1.95E-05,3.94E-06,,,4180600,,1.56E-05,1.56E-05,395.80%,395.84%
12,"[0.4, 0.75, 0.35]",40,3200,8000000,0.1,4,4,10,1403,5.052556745,1.96E-06,3.94E-06,,,2350582,,-1.98E-06,1.98E-06,-50.20%,50.20%
12,"[0.4, 0.75, 0.35]",40,3200,8000000,0.1,4,4,11,1413,5.288381277,7.18E-07,3.94E-06,,,1885391,,-3.22E-06,3.22E-06,-81.80%,81.78%
12,"[0.4, 0.75, 0.35]",40,3200,8000000,0.1,4,4,12,1423,5.325289937,6.45E-06,3.94E-06,,,2450793,,2.51E-06,2.51E-06,63.70%,63.71%
12,"[0.4, 0.75, 0.35]",40,3200,8000000,0.1,4,4,13,1433,5.138908867,5.03E-06,3.94E-06,,,2741338,,1.09E-06,1.09E-06,27.60%,27.58%
12,"[0.4, 0.75, 0.35]",40,3200,8000000,0.1,4,4,14,1443,5.010837083,1.90E-06,3.94E-06,,,1892106,,-2.04E-06,2.04E-06,-51.90%,51.90%
12,"[0.4, 0.75, 0.35]",40,3200,8000000,0.1,4,4,15,1453,4.788328593,1.40E-06,3.94E-06,,,1545262,,-2.54E-06,2.54E-06,-64.60%,64.56%
13,"[0.4, 0.75, 0.35]",40,3200,8000000,0.125,5,4,1,1313,6.017373178,0,3.94E-06,,,1180610,,-3.94E-06,0.00000394,-100.00%,100.00%
