,K,nparticles,niter,rep,seed,integral,E(T),PMC(K),PFV(K),P(K)
0,10.0,10.0,50.0,3.0,1855.0,0.4115945050038541,2.1371908374518647,0.0,0.0,0.03745126304388606
0,10.0,10.0,50.0,4.0,1870.0,0.527376369634633,2.6735217695051956,0.0,0.07092438995419566,0.03745126304388606
0,10.0,10.0,50.0,5.0,1945.0,0.2537897662217654,2.2097783168613745,0.0,0.0,0.03745126304388606
0,10.0,10.0,100.0,1.0,1717.0,0.26259262682691936,2.378768456717473,0.025873037908457318,0.0,0.03745126304388606
0,10.0,10.0,100.0,2.0,1719.0,0.22901407685360883,4.524710954988508,0.016790550766200407,0.28951311065836893,0.03745126304388606
0,10.0,10.0,100.0,3.0,1781.0,0.2124399280613556,2.5625726563187277,0.0,0.0,0.03745126304388606
0,10.0,10.0,100.0,4.0,1909.0,0.15662441409591968,3.1219612287493463,0.009440527595259833,0.0,0.03745126304388606
0,10.0,10.0,100.0,5.0,1769.0,0.1300539802991386,3.93896368264495,0.021705480088630134,0.0,0.03745126304388606
0,10.0,20.0,50.0,1.0,1717.0,0.3992663050081178,2.1155093263243354,0.0,0.0,0.03745126304388606
0,10.0,20.0,50.0,2.0,1796.0,0.6664537635985934,2.26459009380831,0.0,0.0,0.03745126304388606
0,10.0,20.0,50.0,3.0,1723.0,0.36591514362068256,2.2890431324235565,0.006082823076427048,0.05969468224331651,0.03745126304388606
0,10.0,20.0,50.0,4.0,1924.0,0.3473201182736504,2.1781326052676846,0.0,0.0,0.03745126304388606
0,10.0,20.0,50.0,5.0,1721.0,0.2961625296126759,2.2217799425541136,0.0,0.0,0.03745126304388606
0,10.0,20.0,100.0,1.0,1717.0,0.22136852898565296,3.2340520627647544,0.012214717114568806,0.0,0.03745126304388606
0,10.0,20.0,100.0,2.0,1727.0,0.3547454200249781,2.68433547126565,0.019330571875956378,0.052506904660368475,0.03745126304388606
0,10.0,20.0,100.0,3.0,1915.0,0.20684609794027736,3.109110005244818,0.00168203170697291,0.0,0.03745126304388606
0,10.0,20.0,100.0,4.0,1768.0,0.2694726754607602,3.084217404048385,0.004091163636614517,0.0,0.03745126304388606
0,10.0,20.0,100.0,5.0,1757.0,0.15286012261003337,3.3997251789576874,0.005642228272190087,0.0,0.03745126304388606
0,10.0,40.0,50.0,1.0,1717.0,0.3890734519425971,2.414090041445462,0.0,0.0,0.03745126304388606
