casenum,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,E(T),Pr(FV),Pr(K),time_fv_starts,prop_time_fv_starts,n(FV),time(FV)
3,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.3,12,3,6,1363,37.8,2.03e-06,3.94e-06,1792.4,0.002000,2848094,908135.2
3,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.3,12,3,7,1373,41.9,4.82e-06,3.94e-06,1449.3,0.001000,3395950,1077749.8
3,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.3,12,3,8,1383,40.6,3.27e-06,3.94e-06,1652.7,0.001000,3372577,1069831.9
3,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.3,12,3,9,1393,42.9,4.57e-06,3.94e-06,1711.6,0.001000,3355018,1068417.5
3,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.3,12,3,10,1403,40.0,3.57e-06,3.94e-06,1940.3,0.002000,3463764,1097895.1
3,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.3,12,3,11,1413,39.4,7.34e-06,3.94e-06,1753.2,0.002000,3626490,1147196.9
3,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.3,12,3,12,1423,39.9,7.61e-06,3.94e-06,1478.4,0.001000,3768931,1191082.8
3,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.3,12,3,13,1433,39.8,3.15e-06,3.94e-06,1571.3,0.001000,2710159,866825.7
3,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.3,12,3,14,1443,42.5,3.06e-06,3.94e-06,2254.8,0.002000,3101503,988084.1
3,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.3,12,3,15,1453,39.7,1.4e-06,3.94e-06,1864.0,0.002000,3157152,1002607.5
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,1,1313,125.8,3.76e-06,3.94e-06,5751.2,0.005000,6468248,2112901.0
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,2,1323,128.7,2.65e-06,3.94e-06,6346.5,0.006000,7330214,2371979.0
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,3,1333,126.6,3.9e-06,3.94e-06,4962.4,0.004000,6242530,2038247.6
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,4,1343,122.5,5.54e-06,3.94e-06,8495.6,0.007000,6466216,2102434.3
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,5,1353,127.8,3.73e-06,3.94e-06,5733.4,0.005000,6502483,2118662.8
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,6,1363,107.1,6.18e-06,3.94e-06,6453.9,0.006000,7252090,2344262.6
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,7,1373,127.1,6.14e-06,3.94e-06,6883.4,0.006000,6799774,2210044.0
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,8,1383,129.1,2.89e-06,3.94e-06,6515.6,0.006000,6620816,2161250.3
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,9,1393,131.9,3.36e-06,3.94e-06,6234.8,0.005000,6033590,1973405.0
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,10,1403,137.0,4.81e-06,3.94e-06,5566.0,0.005000,6739888,2194348.5
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,11,1413,137.1,6.4e-06,3.94e-06,6831.8,0.006000,6802459,2214130.1
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,12,1423,127.2,6.15e-06,3.94e-06,8545.4,0.007000,7946045,2562965.8
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,13,1433,119.6,3.91e-06,3.94e-06,5926.3,0.005000,6091792,1990716.2
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,14,1443,123.1,4.76e-06,3.94e-06,5525.9,0.005000,6542300,2126158.6
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,15,1453,127.4,2.91e-06,3.94e-06,6703.6,0.006000,6435887,2094561.7
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,1,1313,399.4,3.76e-06,3.94e-06,23241.9,0.020000,13104165,4330761.2
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,2,1323,412.5,3.95e-06,3.94e-06,20803.1,0.018000,13170736,4346156.3
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,3,1333,429.2,4.68e-06,3.94e-06,23196.5,0.020000,14219979,4670955.7
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,4,1343,395.4,7.18e-06,3.94e-06,20779.3,0.018000,14756957,4833808.3
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,5,1353,387.9,3.85e-06,3.94e-06,17760.1,0.016000,13046499,4295143.6
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,6,1363,403.5,1.22e-06,3.94e-06,21126.3,0.018000,12175879,4034162.8
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,7,1373,406.0,4.2e-06,3.94e-06,19645.9,0.017000,12800975,4230491.5
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,8,1383,415.4,5.29e-06,3.94e-06,21799.9,0.019000,13947375,4584217.7
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,9,1393,369.5,5.09e-06,3.94e-06,15966.4,0.014000,13012716,4297635.3
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,10,1403,426.0,4.03e-06,3.94e-06,18101.2,0.016000,13465524,4448002.6
