,rhos,K,nparticles,nmeantimes,multiplier,buffer_size_activation,buffer_size_activation_value,rep,seed,integral,E(T),PMC(K),PFV(K),Pr(K)
0,0.7,10.0,200.0,50.0,1.2,0.8,8.0,8.0,1320.0,0.4351326653214956,48.68642301321822,0.00886890948387514,0.008937453983903446,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.8,8.0,9.0,1321.0,0.5440992468259844,59.02036515347829,0.0073085631423406745,0.009218839046676393,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.8,8.0,10.0,1322.0,0.462921189023718,60.28842709135885,0.00949937252248294,0.007678441972324545,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.8,8.0,11.0,1323.0,0.4908506002309697,59.2760886242834,0.009045086646516707,0.008280752182253215,0.00864520134824504
0,0.7,10.0,200.0,50.0,1.2,0.8,8.0,12.0,1324.0,0.46700036995810285,59.95255958228408,0.007153671758573657,0.007789498450306381,0.00864520134824504
0,0.7,20.0,400.0,50.0,1.2,1.0,1.0,1.0,1313.0,0.0008019923357879514,4.771251627887744,1.2493137965068607e-05,0.00016808845945167586,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,1.0,1.0,2.0,1314.0,0.002612393518509954,4.714388814117621,0.0003392146372817013,0.0005541319610056194,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,1.0,1.0,3.0,1315.0,0.0004786928752807046,4.973597414943999,0.00017705779251376584,9.624680796286254e-05,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,1.0,1.0,4.0,1316.0,0.0008416863324127935,4.617204975967453,0.0008157612832486905,0.00018229347338785478,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,1.0,1.0,5.0,1317.0,0.0010060007232966794,4.679206076967971,7.614845873262519e-05,0.00021499389143137443,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,1.0,1.0,6.0,1318.0,0.001628918867646308,4.763293544572697,0.00020895280748175246,0.00034197322764252064,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,1.0,1.0,7.0,1319.0,0.0012343660333517424,5.011366649513519,0.0005139857462369994,0.0002463132553814575,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,1.0,1.0,8.0,1320.0,0.0012048582685989446,4.6676654390263534,8.917454413830482e-05,0.00025812866931831143,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,1.0,1.0,9.0,1321.0,0.001301054751414413,4.819135649637416,0.00026622172869073923,0.0002699767854661452,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,1.0,1.0,10.0,1322.0,0.00017778660308051324,4.870517814562372,0.0005601078358865484,3.650260811056859e-05,0.00023951057653476344
