,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,Pr(MC),EMC(T),time(MC),n(MC),n(RT),Pr(FV),integral,E(T),n(FV),n(PT),n(ET),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
115,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.3,18,2,11,1413,,,,,,1.2189838749009427e-08,2.550614889062383e-06,209.24106885906522,16341484,6400,6400,1.2493235499773401e-08,,
116,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.3,18,2,12,1423,,,,,,1.2139197443848908e-09,2.7402194970681214e-07,225.73316808984163,15827790,6400,6400,1.2493235499773401e-08,,
117,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.3,18,2,13,1433,,,,,,5.960507649744501e-09,1.3057082333623888e-06,219.05990396948124,17066477,6400,6400,1.2493235499773401e-08,,
118,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.3,18,2,14,1443,,,,,,2.3872846933079476e-08,5.076504162295491e-06,212.64762332393707,17847921,6400,6400,1.2493235499773401e-08,,
119,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.3,18,2,15,1453,,,,,,2.5601828572571344e-08,5.649590611179538e-06,220.6713709985644,16739457,6400,6400,1.2493235499773401e-08,,
120,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.35,21,2,1,1313,,,,,,5.032600492842842e-09,2.581243309385112e-06,512.9044741493092,33668470,6400,6400,1.2493235499773401e-08,,
121,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.35,21,2,2,1323,,,,,,1.670398996954408e-08,8.375829788641567e-06,501.42689285092877,36363175,6400,6400,1.2493235499773401e-08,,
122,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.35,21,2,3,1333,,,,,,5.822477478725806e-09,3.3324327974562064e-06,572.3393194103822,34383776,6400,6400,1.2493235499773401e-08,,
123,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.35,21,2,4,1343,,,,,,2.4240356215960055e-09,1.2355186534422159e-06,509.6949246268667,32812438,6400,6400,1.2493235499773401e-08,,
124,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.35,21,2,5,1353,,,,,,2.9788493780117895e-09,1.6768812817626392e-06,562.9291947892515,34883255,6400,6400,1.2493235499773401e-08,,
125,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.35,21,2,6,1363,,,,,,2.2789878708203412e-08,1.2485144695606593e-05,547.8372594897777,36038562,6400,6400,1.2493235499773401e-08,,
126,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.35,21,2,7,1373,,,,,,2.7655134652050026e-09,1.5274061241940258e-06,552.3047142642648,35441067,6400,6400,1.2493235499773401e-08,,
127,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.35,21,2,8,1383,,,,,,2.1938354685326514e-08,1.1687104372382978e-05,532.7247434922687,37131708,6400,6400,1.2493235499773401e-08,,
128,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.35,21,2,9,1393,,,,,,6.6358905759337795e-09,3.3467014514666118e-06,504.3334294275453,32568141,6400,6400,1.2493235499773401e-08,,
129,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.35,21,2,10,1403,,,,,,1.4828034246402051e-09,8.033126217983975e-07,541.7526075604508,33868767,6400,6400,1.2493235499773401e-08,,
130,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.35,21,2,11,1413,,,,,,8.883905507981236e-10,4.83359207857856e-07,544.0841389224701,33339196,6400,6400,1.2493235499773401e-08,,
131,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.35,21,2,12,1423,,,,,,6.823222850163322e-10,3.902412526428668e-07,571.9309792637447,34595578,6400,6400,1.2493235499773401e-08,,
132,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.35,21,2,13,1433,,,,,,1.625568355349529e-08,8.838791731392905e-06,543.735469647008,35030586,6400,6400,1.2493235499773401e-08,,
133,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.35,21,2,14,1443,,,,,,4.837178721067963e-09,2.501798596988792e-06,517.2020182120621,33429087,6400,6400,1.2493235499773401e-08,,
134,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.35,21,2,15,1453,,,,,,1.9401259817380304e-09,1.0364237243845259e-06,534.2043424706176,33826399,6400,6400,1.2493235499773401e-08,,
135,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.4,24,2,1,1313,,,,,,7.765433669975635e-09,9.516326240242385e-06,1225.4726065121672,74467694,6400,6400,1.2493235499773401e-08,,
136,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.4,24,2,2,1323,,,,,,4.198593123641902e-08,5.477705422708922e-05,1304.6525970483904,80655416,6400,6400,1.2493235499773401e-08,,
