,E(T),K,PFV1(K),PFV2(K),PMC(K),Pr(K),buffer_size_activation,buffer_size_activation_value,integral,nmeantimes,nparticles,rep,seed
2,8.025841147529384,5.0,0.012928202306346224,0.06864341108947447,0.01718471716053789,0.015873015873015872,0.4,2.0,0.1037596980338578,50.0,400.0,6.0,1722.0
2,7.836865674540447,5.0,0.015609044290715504,0.07010986698422672,0.014386709344855655,0.015873015873015872,0.4,2.0,0.12232598341428988,50.0,400.0,7.0,1723.0
2,7.823015000823313,5.0,0.014570485721984562,0.07183021674496555,0.015364109476683919,0.015873015873015872,0.4,2.0,0.11398512837236713,50.0,400.0,8.0,1724.0
3,16.182022083041605,5.0,0.01390137765295607,0.053320745725859334,0.014873589864030812,0.015873015873015872,0.6,3.0,0.22495240016483622,50.0,400.0,1.0,1717.0
3,14.778021201760835,5.0,0.016557963921411126,0.05374181147407777,0.015995236529888365,0.015873015873015872,0.6,3.0,0.24469394188860458,50.0,400.0,2.0,1718.0
3,16.29371128219423,5.0,0.01416266306483649,0.04600951320533789,0.014121893155088959,0.015873015873015872,0.6,3.0,0.23076234296544182,50.0,400.0,3.0,1719.0
3,16.09046824254148,5.0,0.014382149691381546,0.05734258191880898,0.015909907905825176,0.015873015873015872,0.6,3.0,0.23141552286865252,50.0,400.0,4.0,1720.0
3,16.075276549276484,5.0,0.014544270983830775,0.04179711947894267,0.015465325334745624,0.015873015873015872,0.6,3.0,0.23380317827269728,50.0,400.0,5.0,1721.0
3,15.9387018913602,5.0,0.014346758565534357,0.04382300293493099,0.017185818709803565,0.015873015873015872,0.6,3.0,0.2286687078833706,50.0,400.0,6.0,1722.0
3,16.016339654770487,5.0,0.014178374624071583,0.04589630672396985,0.014400604336562279,0.015873015873015872,0.6,3.0,0.2270856637317093,50.0,400.0,7.0,1723.0
3,15.425023419987436,5.0,0.01563769731354944,0.0638345721309194,0.015364873885753777,0.015873015873015872,0.6,3.0,0.2412118472961747,50.0,400.0,8.0,1724.0
4,3.966345988073397,10.0,0.00019108609984961299,0.0,0.0006469557033520273,0.0004885197850512946,1.0,1.0,0.000757913585515105,50.0,400.0,1.0,1717.0
4,4.018465001759067,10.0,0.0004764935665042384,0.0,0.0006862569879751833,0.0004885197850512946,1.0,1.0,0.0019147727205606384,50.0,400.0,2.0,1718.0
4,3.9598149471420188,10.0,0.00021355566624218527,0.0,0.0003791265570682202,0.0004885197850512946,1.0,1.0,0.0008456409192326774,50.0,400.0,3.0,1719.0
4,3.9192151250789697,10.0,0.0006894664894013408,0.0,0.0003777356751070414,0.0004885197850512946,1.0,1.0,0.002702167493496834,50.0,400.0,4.0,1720.0
4,4.029467327114964,10.0,0.00018503566463934766,0.0,0.00038579428552603534,0.0004885197850512946,1.0,1.0,0.000745595165015253,50.0,400.0,5.0,1721.0
4,4.01956945668547,10.0,0.0004056085750083774,0.0,0.0005379329773121097,0.0004885197850512946,1.0,1.0,0.001630371839473391,50.0,400.0,6.0,1722.0
4,3.924469509825545,10.0,0.00054270816908786,0.0,0.0003168890874560673,0.0004885197850512946,1.0,1.0,0.002129841662318553,50.0,400.0,7.0,1723.0
4,4.033404291553251,10.0,0.0004933888796621405,0.0,0.0006236812130615289,0.0004885197850512946,1.0,1.0,0.001990036824633928,50.0,400.0,8.0,1724.0
5,8.034205618465757,10.0,0.0005170195345968902,0.0,0.0006471238334919202,0.0004885197850512946,0.2,2.0,0.004153841249714886,50.0,400.0,1.0,1717.0
5,7.889401210289672,10.0,0.00032947890679609955,0.0,0.0006863326199827095,0.0004885197850512946,0.2,2.0,0.002599391286042066,50.0,400.0,2.0,1718.0
5,7.9560001968572305,10.0,0.0004555969462715889,0.0,0.0003791576285423889,0.0004885197850512946,0.2,2.0,0.0036247293942243144,50.0,400.0,3.0,1719.0
5,7.94789590635771,10.0,0.0005148799023164446,0.0,0.0003777894858888789,0.0004885197850512946,0.2,2.0,0.004092211867886728,50.0,400.0,4.0,1720.0
5,8.019023749340294,10.0,0.000385539696173047,0.0,0.00038608076638026867,0.0004885197850512946,0.2,2.0,0.003091651979925105,50.0,400.0,5.0,1721.0
